name,tier,life,boss,sprite,w,h,scale,cur,in_scope,keep_reason,cls,prop_scale,prop,reason,eyes
Archelos,Uncommon,20,False,sprites/enemy/beast/reptile/turtle.atlas,26,14,1.0,14.0,True,,Critter,0.86,12.0,beast/reptile folder,False
Crab,Uncommon,11,False,sprites/enemy/beast/ocean/crab.atlas,20,16,0.9,14.4,True,,Critter,0.75,12.0,"scale x0.9 was a choice - nearest step to 14.4px, tagged small",False
Hedgehog,Rare,28,False,sprites/enemy/beast/smallmammals/hedgehog.atlas,32,32,0.7,22.4,True,,Critter,0.38,12.2,"beast/smallmammals folder, moves 46%",True
Hermit Crab,Rare,20,False,sprites/enemy/beast/ocean/hermitcrab.atlas,32,32,0.8,25.6,True,,Critter,0.38,12.2,"scale x0.8 was a choice - nearest step to 25.6px, tagged small, moves 52%",True
Hidden Snake,Rare,20,False,sprites/enemy/beast/reptile/cobradungeon.atlas,46,48,0.5,24.0,True,,Critter,0.25,12.0,"beast/reptile folder, moves 50%",True
Homarid,Common,20,False,sprites/enemy/monstrosity/homarid.atlas,64,32,0.75,24.0,True,,Critter,0.38,12.2,"scale x0.75 was a choice - nearest step to 24.0px, tagged small, moves 49%",True
Hope of Ghirapur,Rare,20,False,sprites/enemy/beast/insect/dragonfly.atlas,22,20,1.0,20.0,True,,Critter,0.6,12.0,beast/insect folder,False
Ibis,Common,11,False,sprites/enemy/beast/bird/ibis.atlas,16,16,1.3,20.8,True,,Critter,0.75,12.0,"beast/bird folder, moves 42%",True
Karumonix,Rare,27,False,sprites/enemy/beast/smallmammals/wildratpoison.atlas,32,22,1.0,22.0,True,,Critter,0.55,12.1,"beast/smallmammals folder, moves 45%",True
Lurrus,Uncommon,20,False,sprites/enemy/beast/cat/caracal.atlas,25,15,1.0,15.0,True,,Critter,0.8,12.0,beast/cat folder,False
Naked Mole Rat,Uncommon,18,False,sprites/enemy/beast/smallmammals/nakedmolerat.atlas,32,32,0.8,25.6,True,,Critter,0.38,12.2,"beast/smallmammals folder, moves 52%",True
Parrot,Uncommon,12,False,sprites/enemy/beast/bird/parrot.atlas,22,22,0.7,15.399999999999999,True,,Critter,0.55,12.1,beast/bird folder,False
Plague Rat Swarm,Common,12,False,sprites/enemy/beast/smallmammals/wildratpoison.atlas,32,22,0.8,17.6,True,,Critter,0.55,12.1,beast/smallmammals folder,False
Poisonous Snake,Common,14,False,sprites/enemy/beast/reptile/snake_cobra.atlas,20,16,0.9,14.4,True,,Critter,0.75,12.0,beast/reptile folder,False
Porcupine,Rare,20,False,sprites/enemy/beast/smallmammals/porcupine.atlas,32,32,0.7,22.4,True,,Critter,0.38,12.2,"beast/smallmammals folder, moves 46%",True
