Name,Colors,Deck,Life,Tier,Boss,Difficulty,Include
Abyssal Baron,B,demon_swamp,30,Rare,N,2.0,Y
Adept Black Wizard,B,blackwizard_medium_demonicpact,15,Uncommon,N,1.0,Y
Adept Blue Wizard,,bluewizard_medium_donate,15,Uncommon,N,0.6,Y
Adept Green Wizard,G,greenwizard_medium_cheatramp,15,Uncommon,N,1.0,Y
Adept Red Wizard,R,redwizard_medium_artifact,15,Uncommon,N,1.0,Y
Adept White Wizard,W,whitewizard_medium_aggro,15,Uncommon,N,1.0,Y
Adult Green Dragon,U,greendragon,25,Rare,N,2.0,Y
Adventurer,UW,adventurer,13,Uncommon,N,0.6,Y
Aerie Guard,WU,aerie_guard,18,Rare,N,1.5,Y
Aether Channeler,WU,aether_channeler,15,Rare,N,2.0,Y
Akroma,W,akroma,40,Mythic,Y,3.0,Y
Amonkhet Minotaur Warrior,BR,amonkhet_minotaur,16,Common,N,0.1,Y
Amphin Warrior,GR,amphin_warrior,20,Uncommon,N,1.0,Y
Ancient Demon,UB,demon5,18,Common,N,0.1,Y
Ancient Silver Dragon,U,bluedragon,18,Rare,Y,2.0,Y
Ancient Vampire,B,ancientvampire,25,Rare,N,2.0,Y
Angel Overseer,uw,azoriusangel,18,Common,N,0.1,Y
Angel Warrior,W,angelwarrior,20,Uncommon,N,1.0,Y
Angelic Page,W,angel.json,12,Common,N,0.1,Y
Ape,GR,ape.json,16,Common,N,0.1,Y
Apprentice Black Wizard,B,blackwizard_easy_bog,15,Common,N,0.1,Y
Apprentice Blue Wizard,U,bluewizard_apprentice_1,10,Common,N,0.1,Y
Apprentice Green Wizard,G,greenwizard_easy_elf,10,Common,N,0.1,Y
Apprentice Red Wizard,R,redwizard_easy.json,10,Common,N,0.1,Y
Apprentice White Wizard,W,whitewizard_easy_ajani,10,Common,N,0.1,Y
Arcane Golem,RG,jodah,25,Uncommon,N,0.8,Y
Archaeologist,UW,archaeologist,20,Common,N,0.1,Y
Archer,GW,human_archer,11,Common,N,0.1,Y
Archer Elite,GW,archerelite,25,Common,N,0.1,Y
Archfiend,B,demon_landdestruction,30,Common,N,0.1,Y
Archivist,U,archivist,20,Common,N,0.1,Y
Archmage,GR,archmage,20,Common,N,0.1,Y
Armadillo,GW,armadillo,20,Common,N,0.1,Y
Armored Knight,WR,armored_knight,25,Common,N,0.1,Y
Artifact Warrior,U,artifactwarrior,18,Common,N,0.3,Y
Ashmouth Devil,BR,ashmouth_devil,18,Common,N,0.1,Y
Auramancer,UW,enchantress,20,Common,N,0.1,Y
Axgard Dwarf,RW,axgard_dwarf,13,Common,N,0.1,Y
Badger,G,badger,20,Common,N,0.1,Y
Bandit,BR,bandit,13,Common,N,0.1,Y
Bandit Archer,BR,banditarcher_blink,15,Common,N,0.1,Y
Bandit Leader,BR,banditleader_bolas,25,Common,N,0.1,Y
Bandit Scoundrel,BR,bandit_monor,13,Common,N,0.1,Y
Bandit Slingshot,BR,banditslingshot_flyers,20,Common,N,0.1,Y
Bandit Trapmaster,BR,bandittrapper_hazezon,20,Common,N,0.1,Y
Barbarian,R,barbarian,20,Common,N,0.1,Y
Bat,B,bat,14,Common,N,0.1,Y
Bear,G,bear.json,16,Common,N,0.1,Y
Beastmaster,GW,beastmaster,15,Common,N,0.1,Y
Beholder,BRU,beholder,15,Common,N,0.1,Y
Berserker,BGR,berserker.json,13,Common,N,0.1,Y
Big Zombie,B,zombie_bad.json,13,Common,N,0.1,Y
Bird,U,bird_blue.json,11,Common,N,0.1,Y
Black Golem,B,blackconstruct,18,Common,N,0.3,Y
Bloodgift Demon,brw,demonwander,18,Common,N,0.1,Y
Bloodied Skeleton,B,bloodiedskeleton,12,Common,N,0.2,Y
Blue Golem,U,blue_golem,18,Common,N,0.3,Y
Blue Prototype,U,prototype_blue,18,Common,N,0.3,Y
Boar,G,boar.json,13,Common,N,0.4,Y
Bog Witch,B,witch,16,Common,N,0.1,Y
Boggart,GR,eyeblight,12,Common,N,0.1,Y
Bone Dragon,R,bonedragon,25,Common,N,0.3,Y
Bone Golem,GW,bonegolem,20,Common,N,0.1,Y
Brain Mole,GR,millwizard,20,Common,N,0.1,Y
Bull,G,bull,13,Uncommon,N,0.8,Y
Camel,W,camel,14,Common,N,0.1,Y
Caracal,G,caracal,16,Common,N,0.1,Y
Cathar,GW,cathar,13,Common,N,0.1,Y
Cave Spider,RGB,cave_spider,18,Common,N,0.1,Y
Centaur,GW,centaur.json,16,Common,N,0.1,Y
Centaur Warrior,GW,centaur_warrior,16,Common,N,0.1,Y
Cephalid,,cephalid,25,Rare,N,2.0,Y
Cerodon,U,cerodon,30,Uncommon,N,1.0,Y
Challenger 20,UBRWG,challenger_20_allied_fires,22,Mythic,N,3.0,Y
Challenger 21,UBRWG,challenger_21_azorius_control,22,Mythic,N,3.0,Y
Challenger 22,UBRWG,challenger_22_dimir_control,22,Mythic,N,3.0,Y
