Name,Rarity,Cost,Slot,Quest,Effect,Include,Notes
Challenge Coin,Common,1000,,N,A heavy coin made of gold. Redeem for a free draft.,Y,
Silver Challenge Coin,Common,1000,,N,A heavy coin made of silver. Redeem for a free sealed event.,Y,
Landscape Sketchbook - Mirage,Common,1000,,Y,Gives access to Mirage land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,Currently Unused
Landscape Sketchbook - Urza's Saga,Common,1000,,Y,Gives access to Urza's Saga land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,Currently Unused
Landscape Sketchbook - Coldsnap,Common,1000,,Y,Gives access to Coldsnap land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,Currently Unused
Landscape Sketchbook - Zendikar,Common,1000,,N,Gives access to Zendikar land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,
Landscape Sketchbook - Innistrad,Common,1000,,N,Gives access to Innistrad land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,
Landscape Sketchbook - Ravnica Allegiance,Common,1000,,N,Gives access to Ravnica Allegiance land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,
Landscape Sketchbook - Theros,Common,1000,,N,Gives access to Theros land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,
Landscape Sketchbook - Kamigawa Neon Dynasty,Common,1000,,N,Gives access to Neon Dynasty land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,
Landscape Sketchbook - Dominaria,Common,1000,,N,Gives access to Dominaria land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,
Landscape Sketchbook - Lorwyn,Common,1000,,N,Gives access to Lorwyn land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,
Landscape Sketchbook - Shards of Alara,Common,1000,,N,Gives access to Shards of Alara land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,
Landscape Sketchbook - Amonkhet,Common,1000,,N,Gives access to Amonkhet land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,
Landscape Sketchbook - Ixalan,Common,1000,,N,Gives access to Ixalan land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,
Landscape Sketchbook - Unglued,Common,1000,,N,Gives access to Unglued land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,
Landscape Sketchbook - Unhinged,Common,1000,,N,Gives access to Unhinged land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,
Landscape Sketchbook - Unstable,Common,1000,,N,Gives access to Unstable land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,
Landscape Sketchbook - Unfinity,Common,1000,,N,Gives access to Unfinity land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,
Landscape Sketchbook - Aetherdrift,Common,1000,,N,Gives access to Aetherdrift land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,
Landscape Sketchbook - Edge of Eternities,Common,1000,,N,Gives access to Edge of Eternities land arts in the add basic lands menu of the deckbuilder's upper right corner.y,Y,
Landscape Sketchbook - Strixhaven: School of Mages,Common,1000,,N,Gives access to Strixhaven land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,
Landscape Sketchbook - Streets of New Capenna,Common,1000,,N,Gives access to New Capenna land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,
Landscape Sketchbook - Kaldheim,Common,1000,,N,Gives access to Kaldheim land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,
Landscape Sketchbook - Ikoria: Lair of Behemoths,Common,1000,,N,Gives access to Ikoria land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,
Landscape Sketchbook - Throne of Eldraine,Common,1000,,N,Gives access to Eldraine land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,
Landscape Sketchbook - Shadows Over Innistrad,Common,1000,,N,Gives access to Shadows Over Innistrad land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,
Landscape Sketchbook - Battle for Zendikar,Common,1000,,N,Gives access to Battle for Zendikar land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,
Landscape Sketchbook - Khans of Tarkir,Common,1000,,N,Gives access to Khans of Tarkir land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,
Landscape Sketchbook - Hour of Devastation,Common,1000,,N,Gives access to Hour of Devastation land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,
Landscape Sketchbook - Kaladesh,Common,1000,,N,Gives access to Kaladesh land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,
Landscape Sketchbook - Mercadian Masques,Common,1000,,N,Gives access to Mercadian Masques land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,
Landscape Sketchbook - New Phyrexia,Common,1000,,N,Gives access to New Phyrexia land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,
Landscape Sketchbook - Mirrodin Besieged,Common,1000,,N,Gives access to Mirrodin Besieged land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,
Landscape Sketchbook - Scars of Mirrodin,Common,1000,,N,Gives access to Scars of Mirrodin land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,
Landscape Sketchbook - Magic Origins,Common,1000,,N,Gives access to Magic Origins land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,
Landscape Sketchbook - Magic 2021,Common,1000,,N,Gives access to M21 land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,
Landscape Sketchbook - Modern Horizons,Common,1000,,N,Gives access to Modern Horizons land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,
Landscape Sketchbook - Tempest,Common,1000,,N,Gives access to Tempest land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,
Landscape Sketchbook - Onslaught,Common,1000,,N,Gives access to Onslaught land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,
Landscape Sketchbook - Odyssey,Common,1000,,N,Gives access to Odyssey land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,
Landscape Sketchbook - Rise of the Eldrazi,Common,1000,,N,Gives access to Rise of the Eldrazi land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,
Landscape Sketchbook - Dragons of Tarkir,Common,1000,,N,Gives access to Dragons of Tarkir land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,
Landscape Sketchbook - Duskmourn: House of Horror,Common,1000,,N,Gives access to Duskmorn land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,
Landscape Sketchbook - Outlaws of Thunder Junction,Common,1000,,N,Gives access to Thunder Junction land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,
Landscape Sketchbook - Bloomburrow,Common,1000,,N,Gives access to Bloomburrow land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,
Landscape Sketchbook - The Brothers War,Common,1000,,N,Gives access to Brothers War land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,
Landscape Sketchbook - Seventh Edition,Common,1000,,N,Gives access to 7th Ed land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,
Landscape Sketchbook - Limited Edition Alpha,Common,1000,,N,Gives access to Alpha land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,
Landscape Sketchbook - Limited Edition Beta,Common,1000,,N,Gives access to Beta land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,
Landscape Sketchbook - Revised Edition,Common,1000,,N,Gives access to Revised land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,
Landscape Sketchbook - Fourth Edition,Common,1000,,N,Gives access to 4th Ed land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,
Landscape Sketchbook - Fifth Edition,Common,1000,,N,Gives access to 5th Ed land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,
Landscape Sketchbook - Sixth Edition,Common,1000,,N,Gives access to 6th Ed land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,
Landscape Sketchbook - Ice Age,Common,1000,,N,Gives access to Ice Age non-snow land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,
Landscape Sketchbook - Portal,Common,1000,,N,Gives access to Portal land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,
Landscape Sketchbook - Portal Second Age,Common,1000,,N,Gives access to Portal Second Age land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,
Landscape Sketchbook - Portal Three Kingdoms,Common,1000,,N,Gives access to Three Kingdoms land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,
Landscape Sketchbook - Starter 1999,Common,1000,,N,Gives access to Starter 99 land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,
Landscape Sketchbook - Starter 2000,Common,1000,,N,Gives access to Starter 2000 land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,
Landscape Sketchbook - Battle Royale,Common,1000,,N,Gives access to Battle Royale Box Set land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,
Landscape Sketchbook - Beatdown Box Set,Common,1000,,N,Gives access to Beatdown Box Set land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,
Landscape Sketchbook - Lorwyn Eclipsed,Common,1000,,N,Gives access to Lorwyn Eclipsed land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,
